575	227	3	23.45
179	208	6	32.18
2486	101	3	9.91
1549	101	4	11.27
125	1754	3	20.23
619	104	3	5.31
324	119	3	6.49
113	790	4	17.26
105	1459	3	10.55
98	2992	6	32.25
108	295	12	40.05
103	4464	3	18.52
201	146	3	9.34
101	3573	3	12.86
7	614	16	76.17
98	1261	4	7.41
297	12	9	4.94
121	253	3	5.18
111	425	3	5.96
109	1056	4	16.22
101	837	4	6.5
910	12	10	29.43
557	104	4	8.39
369	110	3	4.79
98	6215	3	18.95
105	506	7	21.36
105	1273	6	28.67
3279	1232	3	47.49
102	322	6	8.43
9	114	11	5.76
108	471	5	13.8
119	767	3	11.8
306	108	4	5.97
101	3191	3	11.68
146	1182	3	22.15
1628	104	3	11.04
103	2311	5	28.27
106	1940	5	28.2
12	1857	5	15.19
165	559	5	37.52
578	132	3	14.97
113	2334	3	18.02
129	535	4	20.32
550	101	6	9.51
1536	101	5	16.51
135	143	8	21.62
104	118	173	451.99
98	450	37	170.31
328	296	4	31.97
98	398	52	290.67
3365	9	5	52.2
271	882	6	64.97
125	1936	3	20.77
473	178	4	27.63
103	946	6	23.4
225	203	8	54.71
101	2111	4	14
104	466	10	34.54
1803	101	4	12.5
111	1493	4	20.7
103	844	3	7.07
7	2533	7	46.12
107	2228	4	22.43
102	395	5	7.81
119	888	4	19.25
113	739	5	23.2
107	1028	3	9.46
5045	104	3	20.79
238	114	9	27.15
136	220	6	24.22
4298	14	3	12.67
568	14	6	7.22
1374	13	3	18.19
4638	12	4	24.67
2252	12	4	11.77
260	118	3	4.49
103	2048	3	12.54
121	505	5	21.77
542	103	6	16.47
7	1370	13	84.83
380	411	3	26.01
1572	102	3	9.47
12	192	22	16.32
101	2678	3	10.72
127	103	44	60
643	12	6	7.11
111	2408	3	17.08
105	643	3	5.76
1551	12	3	4.61
1475	105	4	16.51
326	16	7	30.2
101	370	9	14.39
125	353	12	73.96
120	163	9	18.85
7	3046	5	31.4
150	144	6	19.13
104	1052	3	8.3
16	135	6	3.99
280	121	3	5.93
896	101	14	62.85
107	586	6	20.6
2857	12	3	8.38
7	6352	3	23.82
8	326	8	40.95
119	516	7	33.55
1294	101	3	5.7
1582	12	4	8.85
1016	101	4	7.91
730	12	10	24.65
822	147	3	20.16
656	105	5	14.57
102	752	3	5.53
1480	12	3	4.61
111	1707	3	14.56
559	112	4	13.8
7	2714	3	13.42
117	304	4	9.67
108	2215	3	15.26
1214	104	12	76.25
220	135	5	17.85
2343	104	3	13.25
5076	131	3	31.18
590	112	4	14.38
1007	104	4	12.99
162	211	8	45.18
111	987	3	10.97
109	344	4	7.39
120	492	4	15.01
98	1850	10	52.54
3098	14	3	10
2488	7	4	19.58
358	108	5	11.29
850	14	5	8
119	3899	3	22.71
671	249	4	36.25
107	1398	6	32.7
137	331	12	85.75
116	3578	3	22.27
106	239	5	5.1
1434	102	3	9.08
436	115	3	7.76
254	234	8	62.7
523	1044	3	34.06
1221	101	4	9.36
399	12	10	12.84
455	113	7	29.59
319	234	6	47.75
140	319	10	67.9
105	2345	4	20.87
110	176	11	17.72
101	280	15	25.67
124	2139	3	20.88
107	5851	3	26.82
101	222	15	16.68
106	2949	7	56.06
190	181	7	37.8
829	12	5	6.71
121	745	3	12.68
105	849	4	12.16
1121	104	3	8.57
126	811	6	40.68
389	478	5	50.65
105	1059	3	8.63
871	110	4	14.89
1390	106	3	11.09
107	1561	4	18.61
188	109	9	13.1
2155	14	5	17.39
106	313	4	5.36
105	1688	3	11.38
113	503	4	13.24
126	1881	4	31.19
7	453	42	280.06
437	106	8	26.43
130	211	3	6.26
1646	970	3	40.99
323	158	4	22.6
180	187	10	60.17
98	995	20	108.82
1397	102	3	9.08
415	102	4	5.04
103	544	3	4.64
1082	101	4	8.24
118	2368	4	27.6
1783	12	3	5.39
101	1377	3	6.01
103	424	9	27.62
16	122	10	4.16
1756	107	3	13
1376	105	5	22.45
398	118	3	7.78
98	660	21	86.8
129	699	12	97.71
12	3683	3	10.46
679	12	6	7.94
2791	12	3	8.38
101	1242	4	9.36
116	662	5	22.59
111	2055	3	15.68
103	215	38	149.18
108	637	3	7.22
119	363	4	11.97
110	4119	4	32.11
105	1942	5	26.6
572	108	4	11
598	920	3	34.13
224	3504	4	51.67
7	144	21	19.5
171	528	4	28.09
217	140	3	9.52
106	568	4	10.13
12	175	24	12.82
106	508	14	67.7
12	116	97	13.2
7	1417	6	26.85
12	277	21	33.39
106	388	9	30.3
120	255	4	8.72
173	409	4	26.27
13	810	6	38.95
132	948	4	26.26
118	3183	6	55.76
7	3886	3	15.61
584	102	3	4.09
107	1819	4	19.92
310	123	4	12.66
102	1251	3	8.06
272	4012	3	39.76
353	132	4	18.03
495	2	3	5.75
152	113	12	22.99
677	120	3	11.72
108	1612	4	19.9
813	121	5	27.16
103	1949	6	33.92
121	340	3	7.73
121	414	3	8.95
101	1043	4	8.24
103	2001	3	12.54
116	1371	4	22.35
2	412	6	17.43
105	5032	3	21.15
390	3955	4	61.6
101	1704	4	11.86
1823	104	5	25.01
3021	204	3	33.97
4197	14	3	12.67
147	102	12	4.18
165	145	18	104.16
421	178	5	35.72
201	174	5	24.41
115	1140	4	20.28
421	111	3	5.87
590	3585	3	44.15
116	2892	5	40.38
12	2005	3	6.36
105	1513	3	10.95
2205	105	3	13.6
3763	111	3	20.16
182	282	6	38.99
103	2262	3	13.18
2653	5	3	27.45
112	150	7	6.43
1525	111	3	13.63
484	101	15	46.06
4470	12	3	11.96
108	520	7	25.36
102	105	163	126.28
680	111	3	8.68
108	436	3	5.14
131	413	3	12.45
546	463	3	28.94
113	1009	5	26.4
7	2173	5	24.77
640	104	3	5.45
111	1209	4	18.61
197	179	3	11.73
146	4106	3	32.28
118	2746	5	40.69
129	372	3	11.39
113	2351	4	26.82
98	553	5	4.14
104	131	18	6.77
116	1168	6	36.86
101	730	7	17.35
605	104	3	5.18
111	526	6	22.21
12	2258	3	6.94
2976	7	7	55.58
121	295	7	25.98
618	109	4	11.83
106	759	3	7.74
112	1578	4	22.44
108	1355	10	68.23
105	339	14	50.72
113	1773	4	24.27
